" 3D Run ID";"L";"i";"l1";"ls";"ws"
"1";"39";"0.8";"4";"120";"30"
"2";"39";"0.88";"4";"120";"30"
"3";"39";"0.8";"4";"120";"33"
"4";"39";"0.8";"4";"132";"30"
"5";"39";"0.8";"4.4";"120";"30"
"6";"42.9";"0.8";"4";"120";"30"
"0";"";"";"";"";""
