#Parameters = {L=45.45; W=58.2; e=0.035; h=1.6; ls=120; w0=1.58; w1=4.67; ws=120; y0=13.33; y1=24.29}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
0.0000000000000	-0.042993064200531
0.0024999999441206	-0.042388789087010
0.0049999998882413	-0.040639946741215
0.0074999998323619	-0.037925884995388
0.0099999997764826	-0.034528421827811
0.012500000186265	-0.030794965847707
0.014999999664724	-0.027109360338729
0.017500000074506	-0.023846862671912
0.019999999552965	-0.021336410802502
0.022500000894070	-0.019825130230011
0.025000000372529	-0.019458014679533
0.027499999850988	-0.020258706758297
0.029999999329448	-0.022127157258637
0.032499998807907	-0.024855175520421
0.035000000149012	-0.028142778767864
0.037500001490116	-0.031630520756148
0.039999999105930	-0.034944618697351
0.042500000447035	-0.037729834134058
0.045000001788139	-0.039690687711382
0.047499999403954	-0.040628327899149
0.050000000745058	-0.040456192669424
0.052499998360872	-0.039216584054853
0.054999999701977	-0.037066849686266
0.057500001043081	-0.034270387256795
0.059999998658895	-0.031155285819394
0.062500000000000	-0.028085764934512
0.064999997615814	-0.025414456994967
0.067500002682209	-0.023442623582114
0.070000000298023	-0.022385526436795
0.072499997913837	-0.022352319504487
0.075000002980232	-0.023326592778626
0.077500000596046	-0.025173409842238
0.079999998211861	-0.027657543581937
0.082500003278255	-0.030467065216689
0.085000000894070	-0.033250547226919
0.087499998509884	-0.035666793704598
0.090000003576279	-0.037420582972637
0.092500001192093	-0.038302860900789
0.094999998807907	-0.038208766151419
0.097499996423721	-0.037162804625004
0.10000000149012	-0.035305164177668
0.10249999910593	-0.032880655856726
0.10499999672174	-0.030201419860106
0.10750000178814	-0.027605427154408
0.10999999940395	-0.025424065003248
0.11249999701977	-0.023932900037479
0.11500000208616	-0.023309966794409
0.11749999970198	-0.023630102442588
0.11999999731779	-0.024841273198906
0.12250000238419	-0.026777711145844
0.12500000000000	-0.029182549994916
0.12749999761581	-0.031735992672236
0.12999999523163	-0.034102697178629
0.13249999284744	-0.035971099017704
0.13500000536442	-0.037097323082837
0.13750000298023	-0.037335418452993
0.14000000059605	-0.036661731011254
0.14249999821186	-0.035168039548121
0.14499999582767	-0.033060639229120
0.14749999344349	-0.030624864597589
0.15000000596046	-0.028187327166754
0.15250000357628	-0.026077051485406
0.15500000119209	-0.024573487838621
0.15749999880791	-0.023878161438360
0.15999999642372	-0.024081073863963
0.16249999403954	-0.025150479942223
0.16500000655651	-0.026942517995371
0.16750000417233	-0.029209850594446
0.17000000178814	-0.031644662231249
0.17249999940395	-0.033918505963278
0.17499999701977	-0.035719452755806
0.17749999463558	-0.036804500615175
0.18000000715256	-0.037026771412471
0.18250000476837	-0.036358952214778
0.18500000238419	-0.034897665197886
0.18750000000000	-0.032844816365281
0.18999999761581	-0.030487164363791
0.19249999523163	-0.028150252309302
0.19499999284744	-0.026158426643044
0.19750000536442	-0.024783917538378
0.20000000298023	-0.024216197446744
