" 3D Run ID";"L";"W";"e";"er";"h";"h2";"ls";"w0";"w1";"ws";"y0";"y1"
"1";"45.45";"58.2";"0.035";"1.75";"1.6";"1";"120";"1.58";"4.67";"120";"13.33";"24.29"
"0";"";"";"";"";"";"";"";"";"";"";"";""
