#Parameters = {L=32; e=0.035; h=1.6; i=0.8; l1=2; ls=100; wl=1.7; ws=22}
#"Frequency / GHz"	"S1,1 (3) [Magnitude]"
#----------------------------------------
0.0000000000000	-0.018355447962639
0.0040000001899898	-0.018346467840607
0.0080000003799796	-0.018319006487962
0.012000000104308	-0.018272538552834
0.016000000759959	-0.018209128438305
0.019999999552965	-0.018126166926195
0.024000000208616	-0.018025709859690
0.028000000864267	-0.017908252254618
0.032000001519918	-0.017772728632541
0.035999998450279	-0.017619626069455
0.039999999105930	-0.017449427065238
0.043999999761581	-0.017262610840503
0.048000000417233	-0.017060689346019
0.052000001072884	-0.016842059259283
0.056000001728535	-0.016608225430434
0.059999998658895	-0.016359133001834
0.064000003039837	-0.016096280289837
0.068000003695488	-0.015818567831322
0.071999996900558	-0.015528007181701
0.075999997556210	-0.015225047974262
0.079999998211861	-0.014908584020255
0.083999998867512	-0.014583209134160
0.087999999523163	-0.014244699654721
0.092000000178814	-0.013895571655747
0.096000000834465	-0.013538336939312
0.10000000149012	-0.013171878117364
0.10400000214577	-0.012796629898059
0.10800000280142	-0.012414580428196
0.11200000345707	-0.012026165708800
0.11599999666214	-0.011632332019558
0.11999999731779	-0.011232476639643
0.12399999797344	-0.010829617061517
0.12800000607967	-0.010422633634567
0.13199999928474	-0.010012470428517
0.13600000739098	-0.0096016282147148
0.14000000059605	-0.0091895053962796
0.14399999380112	-0.0087770480216330
0.14800000190735	-0.0083662432702824
0.15199999511242	-0.0079559683414803
0.15600000321865	-0.0075471707741956
0.15999999642372	-0.0071434018506776
0.16400000452995	-0.0067440551219665
0.16799999773502	-0.0063485367196747
0.17200000584126	-0.0059583216281605
0.17599999904633	-0.0055754105323186
0.18000000715256	-0.0051986834872440
0.18400000035763	-0.0048301596378825
0.18799999356270	-0.0044702795828424
0.19200000166893	-0.0041205331545499
0.19599999487400	-0.0037803467437127
0.20000000298023	-0.0034517320097597
0.20399999618530	-0.0031341188161308
0.20800000429153	-0.0028284899056415
0.21199999749660	-0.0025358439919714
0.21600000560284	-0.0022561321517488
0.21999999880791	-0.0019919036958081
0.22400000691414	-0.0017410663660650
0.22800000011921	-0.0015051394041803
0.23199999332428	-0.0012851275321220
0.23600000143051	-0.0010820561682184
0.23999999463558	-0.00089383238312471
0.24400000274181	-0.00072460578945814
0.24799999594688	-0.00057071711199101
0.25200000405312	-0.00043477347314762
0.25600001215935	-0.00031781761795244
0.25999999046326	-0.00021777368977182
0.26399999856949	-0.00013725008228301
0.26800000667572	-7.5230982089565e-05
0.27200001478195	-3.1742082421822e-05
0.27599999308586	-6.7969023934034e-06
0.28000000119209	8.1636352492727e-08
0.28400000929832	-1.4244528255160e-05
0.28799998760223	-4.6710909532916e-05
0.29199999570847	-9.8921925835760e-05
0.29600000381470	-0.00016883008361872
0.30000001192093	-0.00025805325832643
0.30399999022484	-0.00036613379708742
0.30799999833107	-0.00049415257193668
0.31200000643730	-0.00063959203020698
0.31600001454353	-0.00080249742005661
0.31999999284744	-0.00098397917637819
0.32400000095367	-0.0011846366097741
0.32800000905991	-0.0014003716237055
0.33199998736382	-0.0016328213525020
0.33599999547005	-0.0018830916878431
0.34000000357628	-0.0021491948197628
0.34400001168251	-0.0024306644277690
0.34799998998642	-0.0027265352497464
0.35199999809265	-0.0030374386777051
0.35600000619888	-0.0033623811002570
0.36000001430511	-0.0037014356165136
0.36399999260902	-0.0040515970346163
0.36800000071526	-0.0044139298345455
0.37200000882149	-0.0047885215247103
0.37599998712540	-0.0051733818212326
0.37999999523163	-0.0055690726635037
0.38400000333786	-0.0059741066814038
0.38800001144409	-0.0063870061274357
0.39199998974800	-0.0068067783112810
